,0,1,2
0,CoG,Point to identify the center of gravity of an element. This value can be used for validation purposes.,
1,Annotation,3D annotations not representing elements,
2,Axis,"2D or 3D Axis, or single line, representation of an element",
3,FootPrint,"2D Foot print, or double line, representation of an element, projected to ground view",
4,Profile,"3D line representation of a profile being planar, e.g. used for door and window outlines",
5,Surface,"3D Surface representation, e.g. of an analytical surface, of an elementplane)",
6,Reference,"3D representation that is not part of the Body representation. This is used, e.g., for opening geometries, if there are to be excluded from an implicit Boolean operation.",
7,Body,"3D Body representation, e.g. as wireframe, surface, or solid model, of an element",
8,Body-FallBack,"3D Body representation, e.g. as tessellation, or other surface, or boundary representation, added in addition to the solid model (potentially involving Boolean operations) of an element",
9,Clearance,"3D clearance volume of the element. Such clearance region indicates space that should not intersect with the 'Body' representation of other elements, though may intersect with the 'Clearance' representation of other elements.",
10,Lighting,Representation of emitting light as a light source within a shape representation,
11,Point,2 or 3 dimensional point(s),
12,PointCloud,3 dimensional points represented by a point list,
13,Curve,2 or 3 dimensional curve(s),
14,Curve2D,2 dimensional curve(s),
15,Curve3D,3 dimensional curve(s),
16,Surface,2 or 3 dimensional surface(s),
17,Surface2D,2 dimensional surface(s) (a region on ground view),
18,Surface3D,3 dimensional surface(s),
19,SectionedSurface,swept surface(s) created by sweeping open profiles along a directrix,
20,FillArea,2D region(s) represented as a filled area (hatching),
21,Text,text defined as text literals,
22,AdvancedSurface,3 dimensional b-spline surface(s),
23,GeometricSet,"points, curves, surfaces (2 or 3 dimensional)",
24,GeometricCurveSet,"points, curves (2 or 3 dimensional)",
25,Annotation2D,"points, curves (2 or 3 dimensional), hatches and text (2 dimensional)",
26,SurfaceModel,"face based and shell based surface model(s), or tessellated surface model(s)",
27,Tessellation,Tessellated surface representation(s) only,
28,Segment,partial geometry of curves that shall not be rendered sparately from the main curve,
29,SolidModel,"including swept solid, Boolean results and Brep bodies; more specific types are:",
30,SweptSolid,"swept area solids, by extrusion and revolution, excluding tapered sweeps",
31,AdvancedSweptSolid,"swept area solids created by sweeping a profile along a directrix, and tapered sweeps",
32,Brep,Faceted Brep's with and without voids,
33,AdvancedBrep,"Brep's based on advanced faces, with b-spline surface geometry, with and without voids",
34,CSG,"Boolean results of operations between solid models, half spaces and Boolean results",
35,Clipping,"Boolean differences between swept area solids, half spaces and Boolean results",
36,BoundingBox,simplistic 3D representation by a bounding box,
37,SectionedSpine,cross section based representation of a spine curve and planar cross sections. It can represent a surface or a solid and the interpolations of the between the cross sections is not defined,
38,LightSource,"light source with (depending on type) position, orientation, light colour, intensity and attenuation",
39,MappedRepresentation,"representation based on mapped item(s), referring to a representation map. Note: it can be seen as an inserted block reference. The shape representation of the mapped item has a representation type declaring the type of its representation items.",
