IfcDoorLiningProperties, ShapeAspectStyle
IfcMechanicalFastener, NominalDiameter
IfcMechanicalFastener, NominalLength
IfcMechanicalFastenerType, NominalDiameter
IfcMechanicalFastener, NominalLength
IfcPile, ConstructionType
IfcReinforcingBar, NominalDiameter
IfcReinforcingBar, SteelGrade
IfcReinforcingBar, BarLength
IfcReinforcingBar, BarRole
IfcReinforcingBar, BarSurface
IfcReinforcingBarType, NominalDiameter
IfcReinforcingBarType, CrossSectionArea
IfcReinforcingBarType, BarLength
IfcReinforcingBarType, BarSurface
IfcReinforcingBarType, BendingShapeCode
IfcReinforcingBarType, BendingParameters
IfcReinforcingElement, SteelGrade
IfcReinforcingMesh, MeshLength
IfcReinforcingMesh, MeshWidth
IfcReinforcingMesh, LongitudinalBarNominalDiameter
IfcReinforcingMesh, TransverseBarNominalDiameter
IfcReinforcingMesh, LongitudinalBarCrossSectionArea
IfcReinforcingMesh, TransverseBarCrossSectionArea
IfcReinforcingMesh, LongitudinalBarSpacing
IfcReinforcingMesh, TransverseBarSpacing
IfcReinforcingMesh, SteelGrade
IfcReinforcingMeshType, MeshLength
IfcReinforcingMeshType, MeshWidth
IfcReinforcingMeshType, LongitudinalBarNominalDiameter
IfcReinforcingMeshType, TransverseBarNominalDiameter
IfcReinforcingMeshType, LongitudinalBarCrossSectionArea
IfcReinforcingMeshType, TransverseBarCrossSectionArea
IfcReinforcingMeshType, LongitudinalBarSpacing
IfcReinforcingMeshType, TransverseBarSpacing
IfcReinforcingMeshType, BendingShapeCode
IfcReinforcingMeshType, BendingParameters
IfcRelAssignsToActor, RelatedObjectsType
IfcRelAssignsToControl, RelatedObjectsType
IfcRelAssignsToGroup, RelatedObjectsType
IfcRelAssignsToGroupByFactor, RelatedObjectsType
IfcRelAssignsToProcess, RelatedObjectsType
IfcRelAssignsToProduct, RelatedObjectsType
IfcRelAssignsToResource, RelatedObjectsType
IfcStairFlight, NumberOfRisers
IfcStairFlight, NumberOfTreads
IfcStairFlight, RiserHeight
IfcStairFlight, TreadLength
IfcWindowLiningProperties, ShapeAspectStyle
IfcTendon, SteelGrade
IfcTendon, NominalDiameter
IfcTendon, CrossSectionArea
IfcTendon, TensionForce
IfcTendon, PreStress
IfcTendon, FrictionCoefficient
IfcTendon, AnchorageSlip
IfcTendon, MinCurvatureRadius
IfcTendonArchor, SteelGrade
IfcTendonType, NominalDiameter
IfcTendonType, CrossSectionArea
IfcTendonType, SheathDiameter
